Location,Year,"Pupil Teacher Ratio, Primary Education"
Sao Tome and Principe,2012,28.65004
Senegal,2008,36.43514
Senegal,2009,34.65629
Senegal,2010,33.65179
Senegal,2011,32.93963
Senegal,2012,31.68179
Sierra Leone,2008,
Sierra Leone,2009,
Sierra Leone,2010,
Sierra Leone,2011,31.33123
Sierra Leone,2012,32.99373
Somalia,2008,
Somalia,2009,
Somalia,2010,
Somalia,2011,
Somalia,2012,
South Sudan,2008,
South Sudan,2009,
South Sudan,2010,
South Sudan,2011,
South Sudan,2012,
Sudan,2008,45
Sudan,2009,44
Sudan,2010,43
Sudan,2011,43
Sudan,2012,
Tajikistan,2008,22.67432
Tajikistan,2009,23.24594
Tajikistan,2010,25.18145
Tajikistan,2011,23.27456
Tajikistan,2012,23.00472
Tanzania,2008,52.3892
Tanzania,2009,53.70457
Tanzania,2010,50.76274
Tanzania,2011,
Tanzania,2012,45.56776
Timor-Leste,2008,42.44422
Timor-Leste,2009,29.77684
Timor-Leste,2010,30.19877
Timor-Leste,2011,31.35481
Timor-Leste,2012,
Togo,2008,41.32555
Togo,2009,43.50925
Togo,2010,40.57306
Togo,2011,40.94767
Togo,2012,41.67781
Uganda,2008,49.92589
Uganda,2009,49.28122
Uganda,2010,48.576
Uganda,2011,47.77601
Uganda,2012,
Uzbekistan,2008,17.60546
Uzbekistan,2009,17.11574
Uzbekistan,2010,17.76213
Uzbekistan,2011,15.6244
Uzbekistan,2012,
Vietnam,2008,19.92674
Vietnam,2009,19.5222
Vietnam,2010,19.90175
Vietnam,2011,19.63155
Vietnam,2012,19.39912
Yemen,2008,
Yemen,2009,
Yemen,2010,30.81078
Yemen,2011,30.25279
Yemen,2012,
Zambia,2008,54.17641
Zambia,2009,
Zambia,2010,52.98507
Zambia,2011,55.86195
Zambia,2012,49.22433
Zimbabwe,2008,
Zimbabwe,2009,
Zimbabwe,2010,
Zimbabwe,2011,
Zimbabwe,2012,
Average,2008,40
Average,2009,39.3
Average,2010,38.7
Average,2011,38.2
Average,2012,37.3
