Location,Year,AID committed for Basic Education as % of GDP
Pakistan,2010,0.1425678209
Pakistan,2012,0.2056867679
Papua New Guinea,2008,0.2916217875
Papua New Guinea,2009,0.4701031585
Papua New Guinea,2011,0.4079413163
Papua New Guinea,2010,0.3864928479
Papua New Guinea,2012,0.2896125149
Republic of Moldova,2008,0.0899455326
Republic of Moldova,2009,0.0073249264
Republic of Moldova,2011,0.144052666
Republic of Moldova,2010,0.4256352348
Republic of Moldova,2012,0.0862826255
Rwanda,2008,0.8480015672
Rwanda,2009,0.9915173234
Rwanda,2011,0.8516878974
Rwanda,2010,0.1835610311
Rwanda,2012,0.2751232451
Sao Tome and Principe,2008,0.1610956284
Sao Tome and Principe,2009,0.8421668367
Sao Tome and Principe,2011,0.1406711694
Sao Tome and Principe,2010,0.5942136816
Sao Tome and Principe,2012,0.160093346
Senegal,2008,0.7552361447
Senegal,2009,0.4442769161
Senegal,2011,0.4426716679
Senegal,2010,0.2897401933
Senegal,2012,0.5536445327
Sierra Leone,2008,0.7619316766
Sierra Leone,2009,0.9342087816
Sierra Leone,2011,0.4219726696
Sierra Leone,2010,0.4083688441
Sierra Leone,2012,0.5247559989
Somalia,2008,
Somalia,2009,
Somalia,2011,
Somalia,2010,
Somalia,2012,
South Sudan,2008,
South Sudan,2009,
South Sudan,2011,0.2728347244
South Sudan,2010,
South Sudan,2012,0.5817917515
Sudan,2008,0.0844107624
Sudan,2009,0.1075858673
Sudan,2011,0.0607321571
Sudan,2010,0.0728234551
Sudan,2012,0.0108259714
Tajikistan,2008,0.041606261
Tajikistan,2009,0.575402823
Tajikistan,2011,0.102209744
Tajikistan,2010,0.2119399238
Tajikistan,2012,0.0752208838
Timor-Leste,2008,0.2249831719
Timor-Leste,2009,0.259282716
Timor-Leste,2011,0.2839654131
Timor-Leste,2010,0.6818856523
Timor-Leste,2012,0.1283125238
Togo,2008,0.6843629647
Togo,2009,0.2858937874
Togo,2011,0.5565036649
Togo,2010,0.2748871878
Togo,2012,0.1411631954
Uganda,2008,0.7051439818
Uganda,2009,0.7891034159
Uganda,2011,0.2441571673
Uganda,2010,0.495734764
Uganda,2012,0.2144587676
United Republic of Tanzania,2008,0.2858201121
United Republic of Tanzania,2009,1.2559540359
United Republic of Tanzania,2011,0.3085740933
United Republic of Tanzania,2010,0.4233094703
United Republic of Tanzania,2012,0.2086283892
Uzbekistan,2008,0.1118481192
Uzbekistan,2009,0.020045961
Uzbekistan,2011,0.010242979
Uzbekistan,2010,0.0204233555
Uzbekistan,2012,0.0082240947
Viet Nam,2008,0.046426258
Viet Nam,2009,0.2264688712
Viet Nam,2011,0.0233158322
Viet Nam,2010,0.0720762329
Viet Nam,2012,0.0673983381
Yemen,2008,0.2492401761
Yemen,2009,0.2391799013
Yemen,2011,0.0526851309
Yemen,2010,0.0941165464
Yemen,2012,0.1902932888
Zambia,2008,0.8066095731
Zambia,2009,0.4783151371
Zambia,2011,0.1948624792
Zambia,2010,0.2504876547
Zambia,2012,0.2018576241
Zimbabwe,2008,0.0366930768
Zimbabwe,2009,0.3453867112
Zimbabwe,2011,0.385958714
Zimbabwe,2010,0.0687573456
Zimbabwe,2012,0.5023530555
Total,2008,0.5833799414
Total,2009,0.5264097018
Total,2011,0.3342001769
Total,2010,0.475717247
Total,2012,0.4410863236
