Location,Year,AID committed for total Education as % of GDP
Ethiopia,2009,1.3572230721
Ethiopia,2011,0.6088734236
Ethiopia,2010,0.6021797347
Ethiopia,2012,1.024210548
Gambia,2008,0.4982946058
Gambia,2009,0.7573771365
Gambia,2011,1.0984626135
Gambia,2010,4.5434209544
Gambia,2012,1.832255022
Georgia,2008,0.6664582493
Georgia,2009,0.806285476
Georgia,2011,0.1940556495
Georgia,2010,0.3211851418
Georgia,2012,0.2570794378
Ghana,2008,0.6733556997
Ghana,2009,0.4700531935
Ghana,2011,0.4110440313
Ghana,2010,0.4644804611
Ghana,2012,0.6042424968
Guinea,2008,2.0760259464
Guinea,2009,0.6636815102
Guinea,2011,0.7459984778
Guinea,2010,0.6058411848
Guinea,2012,1.0560771307
Guinea-Bissau,2008,2.8813696576
Guinea-Bissau,2009,2.9465035689
Guinea-Bissau,2011,1.0318472859
Guinea-Bissau,2010,2.4039221027
Guinea-Bissau,2012,2.3031292831
Guyana,2008,0.026000676
Guyana,2009,0.0630157609
Guyana,2011,0.4235745052
Guyana,2010,0.1975342187
Guyana,2012,0.0472787836
Haiti,2008,1.1477657038
Haiti,2009,1.5799160867
Haiti,2011,2.759190111
Haiti,2010,3.0122666066
Haiti,2012,1.253363756
Honduras,2008,0.521273343
Honduras,2009,0.2374423471
Honduras,2011,0.4696511814
Honduras,2010,0.2030938419
Honduras,2012,0.2568402486
Kenya,2008,0.2315993403
Kenya,2009,0.4273026732
Kenya,2011,0.3919848045
Kenya,2010,0.1446920728
Kenya,2012,0.5114596088
Kyrgyzstan,2008,0.5791361333
Kyrgyzstan,2009,0.6262833013
Kyrgyzstan,2011,0.4427581642
Kyrgyzstan,2010,0.4151493951
Kyrgyzstan,2012,0.934736212
Lao People's Democratic Republic,2008,0.7105285056
Lao People's Democratic Republic,2009,0.5346574665
Lao People's Democratic Republic,2011,0.9952207302
Lao People's Democratic Republic,2010,1.4231777447
Lao People's Democratic Republic,2012,0.7987629048
Lesotho,2008,1.2944295078
Lesotho,2009,0.7099587384
Lesotho,2011,1.2327392953
Lesotho,2010,0.6075050113
Lesotho,2012,0.3944310037
Liberia,2008,8.7699208259
Liberia,2009,3.9701768777
Liberia,2011,2.6997130299
Liberia,2010,4.4697297054
Liberia,2012,2.590070669
Madagascar,2008,1.1878748667
Madagascar,2009,0.5081731291
Madagascar,2011,0.563971518
Madagascar,2010,0.3540046032
Madagascar,2012,1.0242114362
Malawi,2008,1.7819997802
Malawi,2009,1.3224887207
Malawi,2011,0.6031984503
Malawi,2010,2.9990615268
Malawi,2012,3.3982898419
Mali,2008,1.38914267
Mali,2009,1.7276683801
Mali,2011,1.4086298706
Mali,2010,1.2350817924
Mali,2012,0.653964671
Mauritania,2008,0.4218206543
Mauritania,2009,0.5617691342
Mauritania,2011,0.9914741096
Mauritania,2010,2.150610319
Mauritania,2012,0.8047281493
Mongolia,2008,0.8223458712
Mongolia,2009,1.3567289899
Mongolia,2011,0.7443754622
Mongolia,2010,1.1265503203
Mongolia,2012,0.3644992962
Mozambique,2008,2.5175030152
Mozambique,2009,3.1520935327
Mozambique,2011,1.7357899411
Mozambique,2010,2.3749194659
Mozambique,2012,1.0095237518
Nepal,2008,0.3555244878
Nepal,2009,2.6908837417
Nepal,2011,0.4778185693
Nepal,2010,0.3418263655
Nepal,2012,1.7401767328
Nicaragua,2008,0.7256183305
Nicaragua,2009,0.3826396199
Nicaragua,2011,0.3000217746
Nicaragua,2010,0.7887418074
Nicaragua,2012,0.8647812107
Niger,2008,1.1660295544
Niger,2009,0.671296246
Niger,2011,0.4646840126
Niger,2010,1.6995707991
Niger,2012,0.9552689856
Nigeria,2008,0.0166566171
Nigeria,2009,0.0824335174
Nigeria,2011,0.0171357746
Nigeria,2010,0.0257658346
Nigeria,2012,0.0436391894
Pakistan,2008,0.1482716072
Pakistan,2009,0.7590131165
Pakistan,2011,0.281346383
Pakistan,2010,0.2699985547
Pakistan,2012,0.2523905909
Papua New Guinea,2008,0.532678525
Papua New Guinea,2009,0.5882746946
Papua New Guinea,2011,0.8053093869
Papua New Guinea,2010,1.2955051585
Papua New Guinea,2012,0.6234914365
Republic of Moldova,2008,0.4024995871
Republic of Moldova,2009,0.2667805443
Republic of Moldova,2011,0.4850562154
Republic of Moldova,2010,1.0922041012
Republic of Moldova,2012,0.4429159956
Rwanda,2008,1.9392228652
Rwanda,2009,2.3018781077
Rwanda,2011,2.4357917847
Rwanda,2010,1.1189744711
Rwanda,2012,0.6009027059
Sao Tome and Principe,2008,3.7768923497
Sao Tome and Principe,2009,4.5661852041
Sao Tome and Principe,2011,2.6766629032
Sao Tome and Principe,2010,3.8808626866
Sao Tome and Principe,2012,2.5671520913
Senegal,2008,1.9287013919
Senegal,2009,1.2403333589
Senegal,2011,1.771494591
Senegal,2010,0.9294734622
Senegal,2012,1.3979598225
Sierra Leone,2008,1.4521028594
Sierra Leone,2009,1.4179355338
Sierra Leone,2011,0.802929792
Sierra Leone,2010,1.071459294
Sierra Leone,2012,0.9892515862
Somalia,2008,
Somalia,2009,
Somalia,2011,
Somalia,2010,
Somalia,2012,
South Sudan,2008,
South Sudan,2009,
South Sudan,2011,0.3874321262
South Sudan,2010,
South Sudan,2012,0.7470612916
Sudan,2008,0.1407088248
Sudan,2009,0.1682548701
Sudan,2011,0.085833111
Sudan,2010,0.1153598665
Sudan,2012,0.0353478042
Tajikistan,2008,0.1857971568
Tajikistan,2009,0.749840004
Tajikistan,2011,0.3798421156
Tajikistan,2010,0.4463225452
Tajikistan,2012,0.5569325211
Timor-Leste,2008,0.4926584366
Timor-Leste,2009,0.7170284814
Timor-Leste,2011,0.6986888736
Timor-Leste,2010,1.3908843027
Timor-Leste,2012,0.5940777619
Togo,2008,1.2783409578
Togo,2009,0.918474866
Togo,2011,1.2143099864
Togo,2010,0.8540635546
Togo,2012,0.6863950393
Uganda,2008,1.1537906381
Uganda,2009,1.9573997607
Uganda,2011,0.5543574599
Uganda,2010,0.9348795972
Uganda,2012,0.2857778798
United Republic of Tanzania,2008,1.1256750551
United Republic of Tanzania,2009,2.5565725094
United Republic of Tanzania,2011,0.6009734812
United Republic of Tanzania,2010,1.0804642575
United Republic of Tanzania,2012,0.4020371374
Uzbekistan,2008,0.1623255725
Uzbekistan,2009,0.1456755686
Uzbekistan,2011,0.0647130138
Uzbekistan,2010,0.1003970921
Uzbekistan,2012,0.0469026998
Viet Nam,2008,0.2778090619
Viet Nam,2009,0.6789538886
Viet Nam,2011,0.1643722928
Viet Nam,2010,0.4445741348
Viet Nam,2012,0.1661709661
Yemen,2008,0.4791010517
Yemen,2009,0.4392436751
Yemen,2011,0.1252628694
Yemen,2010,0.2315755009
Yemen,2012,0.3622653967
Zambia,2008,1.5444031091
Zambia,2009,0.9110362405
Zambia,2011,0.3460921214
Zambia,2010,0.4466196269
Zambia,2012,0.3999443545
Zimbabwe,2008,0.1217686353
Zimbabwe,2009,0.516402348
Zimbabwe,2011,0.4465381613
Zimbabwe,2010,0.171865411
Zimbabwe,2012,0.613497174
Total,2008,1.2294126744
Total,2009,1.1890859736
Total,2011,0.8192098353
Total,2010,1.1493562694
Total,2012,0.8952651167
