Location,Year,AID committed for total Education- Current prices (USD millions)
Lao People's Democratic Republic,2009,29.9247784
Lao People's Democratic Republic,2011,81.229916
Lao People's Democratic Republic,2010,97.5588344
Lao People's Democratic Republic,2012,73.254546
Lesotho,2008,20.7755936
Lesotho,2009,12.268087
Lesotho,2011,31.1389946
Lesotho,2010,13.4805362
Lesotho,2012,9.706947
Liberia,2008,97.696918
Liberia,2009,45.7761394
Liberia,2011,41.5215864
Liberia,2010,57.6595132
Liberia,2012,44.9118254
Madagascar,2008,111.8146612
Madagascar,2009,43.458966
Madagascar,2011,55.83882
Madagascar,2010,30.915222
Madagascar,2012,103.619471
Malawi,2008,76.2161306
Malawi,2009,66.5740822
Malawi,2011,33.863561
Malawi,2010,161.8593506
Malawi,2012,141.844618
Mali,2008,121.952835
Mali,2009,155.282834
Mali,2011,150.244462
Mali,2010,116.5917212
Mali,2012,67.4826144
Mauritania,2008,14.826996
Mauritania,2009,16.999134
Mauritania,2011,40.5314616
Mauritania,2010,77.529502
Mauritania,2012,31.6982418
Mongolia,2008,46.108933
Mongolia,2009,62.056784
Mongolia,2011,64.827659
Mongolia,2010,70.341802
Mongolia,2012,37.3903378
Mozambique,2008,250.3153248
Mozambique,2009,314.1691624
Mozambique,2011,218.2235114
Mozambique,2010,226.7573106
Mozambique,2012,143.7965632
Nepal,2008,44.600547
Nepal,2009,345.913105
Nepal,2011,91.373245
Nepal,2010,54.699055
Nepal,2012,329.902705
Nicaragua,2008,59.892537
Nicaragua,2009,31.204261
Nicaragua,2011,28.9100982
Nicaragua,2010,67.729259
Nicaragua,2012,90.853914
Niger,2008,62.8023518
Niger,2009,35.8002288
Niger,2011,29.4842006
Niger,2010,97.198454
Niger,2012,62.8089358
Nigeria,2008,34.498519
Nigeria,2009,138.972194
Nigeria,2011,41.808891
Nigeria,2010,58.910489
Nigeria,2012,117.91789
Pakistan,2008,253.833578
Pakistan,2009,1288.3868146
Pakistan,2011,601.307557
Pakistan,2010,479.5768328
Pakistan,2012,569.287169
Papua New Guinea,2008,42.614282
Papua New Guinea,2009,47.679664
Papua New Guinea,2011,103.635265
Papua New Guinea,2010,125.8712812
Papua New Guinea,2012,94.359194
Republic of Moldova,2008,24.37135
Republic of Moldova,2009,14.507526
Republic of Moldova,2011,34.0412452
Republic of Moldova,2010,63.4898244
Republic of Moldova,2012,32.120268
Rwanda,2008,89.3399974
Rwanda,2009,120.917657
Rwanda,2011,154.77021
Rwanda,2010,62.942314
Rwanda,2012,42.6821192
Sao Tome and Principe,2008,6.911713
Sao Tome and Principe,2009,8.949723
Sao Tome and Principe,2011,6.638124
Sao Tome and Principe,2010,7.800534
Sao Tome and Principe,2012,6.75161
Senegal,2008,259.3910502
Senegal,2009,158.7874766
Senegal,2011,256.1758328
Senegal,2010,119.7347714
Senegal,2012,196.8607022
Sierra Leone,2008,36.4623028
Sierra Leone,2009,34.796138
Sierra Leone,2011,23.5499308
Sierra Leone,2010,27.6222206
Sierra Leone,2012,37.4827426
Somalia,2008,61.025578
Somalia,2009,17.331148
Somalia,2011,50.301127
Somalia,2010,16.9613012
Somalia,2012,63.6906328
South Sudan,2008,0
South Sudan,2009,0
South Sudan,2011,69.861761
South Sudan,2010,0
South Sudan,2012,76.349664
Sudan,2008,76.725708
Sudan,2009,89.861561
Sudan,2011,57.406043
Sudan,2010,75.7083732
Sudan,2012,21.386482
Tajikistan,2008,9.540684
Tajikistan,2009,37.319537
Tajikistan,2011,24.7771012
Tajikistan,2010,25.181518
Tajikistan,2012,42.282317
Timor-Leste,2008,21.869108
Timor-Leste,2009,23.6547696
Timor-Leste,2011,40.502994
Timor-Leste,2010,58.6396822
Timor-Leste,2012,37.426899
Togo,2008,40.574542
Togo,2009,29.124838
Togo,2011,44.7958954
Togo,2010,27.1506804
Togo,2012,26.2065626
Uganda,2008,188.9562928
Uganda,2009,323.8713644
Uganda,2011,100.9595806
Uganda,2010,160.6216636
Uganda,2012,60.707795
United Republic of Tanzania,2008,233.0147364
United Republic of Tanzania,2009,546.2884138
United Republic of Tanzania,2011,143.338185
United Republic of Tanzania,2010,247.4371196
United Republic of Tanzania,2012,113.5634302
Uzbekistan,2008,46.43323
Uzbekistan,2009,48.744502
Uzbekistan,2011,29.393298
Uzbekistan,2010,39.117719
Uzbekistan,2012,23.974315
Viet Nam,2008,273.000187
Viet Nam,2009,690.0887324
Viet Nam,2011,221.2056568
Viet Nam,2010,501.5907676
Viet Nam,2012,258.5038634
Yemen,2008,128.921302
Yemen,2009,110.386328
Yemen,2011,41.498336
Yemen,2010,71.89493
Yemen,2012,128.17312
Zambia,2008,226.1160592
Zambia,2009,116.6581906
Zambia,2011,66.463531
Zambia,2010,72.3077176
Zambia,2012,82.3485426
Zimbabwe,2008,5.50516
Zimbabwe,2009,31.670956
Zimbabwe,2011,39.585608
Zimbabwe,2010,12.774756
Zimbabwe,2012,60.134993
Total,2008,5027.0204842
Total,2009,7238.233475
Total,2011,5021.0264034
Total,2010,5328.4034502
Total,2012,5589.695762
