Location,Year,World Population
Brunei,2010,400569
Brunei,2011,406512
Brunei,2012,412238
Bulgaria,2008,7492561
Bulgaria,2009,7444443
Bulgaria,2010,7395599
Bulgaria,2011,7348328
Bulgaria,2012,7305888
Burkina Faso,2008,14659646
Burkina Faso,2009,15094967
Burkina Faso,2010,15540284
Burkina Faso,2011,15995313
Burkina Faso,2012,16460141
Burma,2008,51174018
Burma,2009,51540490
Burma,2010,51931231
Burma,2011,52350763
Burma,2012,52797319
Burundi,2008,8624280
Burundi,2009,8926687
Burundi,2010,9232753
Burundi,2011,9540362
Burundi,2012,9849569
Cabo Verde,2008,13940518
Cabo Verde,2009,14144225
Cabo Verde,2010,14364931
Cabo Verde,2011,14605862
Cabo Verde,2012,14864646
Cambodia,2008,19595026
Cambodia,2009,20103945
Cambodia,2010,20624343
Cambodia,2011,21156272
Cambodia,2012,21699631
Cameroon,2008,33245773
Cameroon,2009,33628571
Cameroon,2010,34005274
Cameroon,2011,34342780
Cameroon,2012,34754312
Canada,2008,484651
Canada,2009,485714
Canada,2010,487601
Canada,2011,490556
Canada,2012,494401
Cayman Islands,2008,52912
Cayman Islands,2009,54275
Cayman Islands,2010,55509
Cayman Islands,2011,56601
Cayman Islands,2012,57570
Central African Republic,2008,4185106
Central African Republic,2009,4266247
Central African Republic,2010,4349921
Central African Republic,2011,4436217
Central African Republic,2012,4525209
Chad,2008,11030628
Chad,2009,11371325
Chad,2010,11720781
Chad,2011,12080037
Chad,2012,12448175
Chile,2008,16831184
Chile,2009,16991729
Chile,2010,17150760
Chile,2011,17308449
Chile,2012,17464814
China,2008,1324655000
China,2009,1331260000
China,2010,1337705000
China,2011,1344130000
China,2012,1350695000
Colombia,2008,45153037
Colombia,2009,45802561
Colombia,2010,46444798
Colombia,2011,47078792
Colombia,2012,47704427
Comoros,2008,649291
Comoros,2009,666097
Comoros,2010,683081
Comoros,2011,700216
Comoros,2012,717503
"Congo, Democratic Republic of the",2008,58819038
"Congo, Democratic Republic of the",2009,60486276
"Congo, Democratic Republic of the",2010,62191161
"Congo, Democratic Republic of the",2011,63931512
"Congo, Democratic Republic of the",2012,65705093
"Congo, Republic of the",2008,3876475
"Congo, Republic of the",2009,3995146
"Congo, Republic of the",2010,4111715
"Congo, Republic of the",2011,4225359
"Congo, Republic of the",2012,4337051
Costa Rica,2008,4532711
Costa Rica,2009,4601424
Costa Rica,2010,4669685
Costa Rica,2011,4737680
Costa Rica,2012,4805295
Croatia,2008,4434508
Croatia,2009,4429078
Croatia,2010,4417781
Croatia,2011,4280622
Croatia,2012,4267558
Cuba,2008,11296355
Cuba,2009,11288826
Cuba,2010,11281768
Cuba,2011,11276053
Cuba,2012,11270957
Curaçao,2008,144971
Curaçao,2009,145890
Curaçao,2010,149311
Curaçao,2011,150612
Curaçao,2012,152056
Cyprus,2008,1077089
Cyprus,2009,1090553
Cyprus,2010,1103685
Cyprus,2011,1116513
Cyprus,2012,1128994
Czech Republic,2008,10384603
Czech Republic,2009,10443936
Czech Republic,2010,10474410
Czech Republic,2011,10496088
Czech Republic,2012,10510785
Denmark,2008,5493621
Denmark,2009,5523095
Denmark,2010,5547683
Denmark,2011,5570572
Denmark,2012,5591572
Djibouti,2008,810100
Djibouti,2009,821865
Djibouti,2010,834036
Djibouti,2011,846646
Djibouti,2012,859652
Dominica,2008,70883
Dominica,2009,70996
Dominica,2010,71167
Dominica,2011,71401
Dominica,2012,71684
Dominican Republic,2008,9750195
Dominican Republic,2009,9884265
Dominican Republic,2010,10016797
Dominican Republic,2011,10147598
Dominican Republic,2012,10276621
East Timor,2008,1032182
East Timor,2009,1049156
East Timor,2010,1066409
East Timor,2011,1120392
East Timor,2012,1148958
Ecuador,2008,14512402
Ecuador,2009,14756424
Ecuador,2010,15001072
Ecuador,2011,15246481
Ecuador,2012,15492264
Egypt,2008,75491922
Egypt,2009,76775023
Egypt,2010,78075705
Egypt,2011,79392466
Egypt,2012,80721874
El Salvador,2008,6151776
El Salvador,2009,6183484
El Salvador,2010,6218195
El Salvador,2011,6256242
El Salvador,2012,6297394
Equatorial Guinea,2008,658025
Equatorial Guinea,2009,676851
Equatorial Guinea,2010,696167
Equatorial Guinea,2011,715996
Equatorial Guinea,2012,736296
Eritrea,2008,5382163
Eritrea,2009,5557889
Eritrea,2010,5741159
Eritrea,2011,5932852
Eritrea,2012,6130922
Estonia,2008,1337090
Estonia,2009,1334515
Estonia,2010,1331475
Estonia,2011,1327439
Estonia,2012,1325016
Ethiopia,2008,82621190
Ethiopia,2009,84838032
Ethiopia,2010,87095281
Ethiopia,2011,89393063
Ethiopia,2012,91728849
Faroe Islands,2008,49601
Faroe Islands,2009,49600
Faroe Islands,2010,49581
Faroe Islands,2011,49551
Faroe Islands,2012,49506
Fiji,2008,843851
Fiji,2009,852479
Fiji,2010,860559
Fiji,2011,867921
Fiji,2012,874742
Finland,2008,5313399
Finland,2009,5338871
Finland,2010,5363352
Finland,2011,5388272
Finland,2012,5413971
France,2008,64371099
France,2009,64702921
France,2010,65023142
France,2011,65343588
France,2012,65676758
French Polynesia,2008,262877
French Polynesia,2009,265412
French Polynesia,2010,268065
French Polynesia,2011,270874
French Polynesia,2012,273814
Gabon,2008,1482843
Gabon,2009,1519155
Gabon,2010,1556222
Gabon,2011,1594034
Gabon,2012,1632572
"Gambia, The",2008,1577984
"Gambia, The",2009,1628332
"Gambia, The",2010,1680640
"Gambia, The",2011,1734966
"Gambia, The",2012,1791225
Georgia,2008,4383800
Georgia,2009,4410900
Georgia,2010,4452800
Georgia,2011,4483350
Georgia,2012,4490700
Germany,2008,82110097
Germany,2009,81902307
Germany,2010,81776930
Germany,2011,81797673
Germany,2012,80425823
Ghana,2008,23110139
Ghana,2009,23691533
Ghana,2010,24262901
Ghana,2011,24820706
Ghana,2012,25366462
Greece,2008,11186439
Greece,2009,11187085
Greece,2010,11153454
Greece,2011,11123213
Greece,2012,11092771
Greenland,2008,56328
Greenland,2009,56323
Greenland,2010,56905
Greenland,2011,56890
Greenland,2012,56810
Grenada,2008,103932
Grenada,2009,104296
Grenada,2010,104677
Grenada,2011,105074
Grenada,2012,105483
Guam,2008,158310
Guam,2009,158621
Guam,2010,159440
Guam,2011,160858
Guam,2012,162810
Guatemala,2008,13648307
Guatemala,2009,13988988
Guatemala,2010,14341576
Guatemala,2011,14706578
Guatemala,2012,15082831
Guinea,2008,10314678
Guinea,2009,10593248
Guinea,2010,10876033
Guinea,2011,11161530
Guinea,2012,11451273
Guinea-Bissau,2008,1516920
Guinea-Bissau,2009,1550905
Guinea-Bissau,2010,1586624
Guinea-Bissau,2011,1624228
Guinea-Bissau,2012,1663558
Guyana,2008,775739
Guyana,2009,781055
Guyana,2010,786126
Guyana,2011,790882
Guyana,2012,795369
Haiti,2008,9638255
Haiti,2009,9765153
Haiti,2010,9896400
Haiti,2011,10032864
Haiti,2012,10173775
Honduras,2008,7322368
Honduras,2009,7469844
Honduras,2010,7621204
Honduras,2011,7776669
Honduras,2012,7935846
Hong Kong,2008,6957800
Hong Kong,2009,6972800
Hong Kong,2010,7024200
Hong Kong,2011,7071600
Hong Kong,2012,7154600
Hungary,2008,10038188
Hungary,2009,10022650
Hungary,2010,10000023
Hungary,2011,9971727
Hungary,2012,9920362
Iceland,2008,317414
Iceland,2009,318499
Iceland,2010,318041
Iceland,2011,319014
Iceland,2012,320716
India,2008,1174662334
India,2009,1190138069
India,2010,1205624648
India,2011,1221156319
India,2012,1236686732
Indonesia,2008,234243489
Indonesia,2009,237486894
Indonesia,2010,240676485
Indonesia,2011,243801639
Indonesia,2012,246864191
Iran,2008,72660887
Iran,2009,73542954
Iran,2010,74462314
Iran,2011,75424285
Iran,2012,76424443
Iraq,2008,29429829
Iraq,2009,30163199
Iraq,2010,30962380
Iraq,2011,31760020
Iraq,2012,32578209
Ireland,2008,4489544
Ireland,2009,4535375
Ireland,2010,4560155
Ireland,2011,4576794
Ireland,2012,4586897
Isle of Man,2008,82561
Isle of Man,2009,83293
Isle of Man,2010,83992
Isle of Man,2011,84654
Isle of Man,2012,85284
Israel,2008,7308800
Israel,2009,7485600
Israel,2010,7623600
Israel,2011,7765800
Israel,2012,7910500
Italy,2008,58826731
Italy,2009,59095365
Italy,2010,59277417
Italy,2011,59379449
Italy,2012,59539717
Ivory Coast,2008,18260044
Ivory Coast,2009,18601342
Ivory Coast,2010,18976588
Ivory Coast,2011,19389954
Ivory Coast,2012,19839750
Jamaica,2008,2671934
Jamaica,2009,2681386
Jamaica,2010,2690824
Jamaica,2011,2699838
Jamaica,2012,2707805
Japan,2008,127704040
Japan,2009,127557958
Japan,2010,127450459
Japan,2011,127817277
Japan,2012,127561489
Jordan,2008,5786000
Jordan,2009,5915000
Jordan,2010,6046000
Jordan,2011,6181000
Jordan,2012,6318000
Kazakhstan,2008,15674000
Kazakhstan,2009,16092701
Kazakhstan,2010,16321581
Kazakhstan,2011,16556600
Kazakhstan,2012,16791425
Kenya,2008,38773277
Kenya,2009,39824734
Kenya,2010,40909194
Kenya,2011,42027891
Kenya,2012,43178141
Kiribati,2008,94832
Kiribati,2009,96272
Kiribati,2010,97743
Kiribati,2011,99250
Kiribati,2012,100786
"Korea, North",2008,24243894
"Korea, North",2009,24371865
"Korea, North",2010,24500520
"Korea, North",2011,24631291
"Korea, North",2012,24763188
"Korea, South",2008,48948698
"Korea, South",2009,49182038
"Korea, South",2010,49410366
"Korea, South",2011,49779440
"Korea, South",2012,50004441
Kosovo,2008,1747383
Kosovo,2009,1761474
Kosovo,2010,1775680
Kosovo,2011,1790957
Kosovo,2012,1807106
Kuwait,2008,2702221
Kuwait,2009,2850102
Kuwait,2010,2991580
Kuwait,2011,3124705
Kuwait,2012,3250496
Kyrgyzstan,2008,5318700
Kyrgyzstan,2009,5383300
Kyrgyzstan,2010,5447900
Kyrgyzstan,2011,5514600
Kyrgyzstan,2012,5607200
Laos,2008,6139127
Laos,2009,6267968
Laos,2010,6395713
Laos,2011,6521314
Laos,2012,6645827
Latvia,2008,2177322
Latvia,2009,2141669
Latvia,2010,2097555
Latvia,2011,2059709
Latvia,2012,2034319
Lebanon,2008,4186088
Lebanon,2009,4246924
Lebanon,2010,4341092
Lebanon,2011,4382790
Lebanon,2012,4424888
Lesotho,2008,1972199
Lesotho,2009,1989873
Lesotho,2010,2008921
Lesotho,2011,2029516
Lesotho,2012,2051545
Liberia,2008,3672714
Liberia,2009,3821440
Liberia,2010,3957990
Liberia,2011,4079697
Liberia,2012,4190435
Libya,2008,5876805
Libya,2009,5964325
Libya,2010,6040612
Libya,2011,6103233
Libya,2012,6154623
Liechtenstein,2008,35582
Liechtenstein,2009,35851
Liechtenstein,2010,36120
Liechtenstein,2011,36388
Liechtenstein,2012,36656
Lithuania,2008,3198231
Lithuania,2009,3162916
Lithuania,2010,3097282
Lithuania,2011,3028115
Lithuania,2012,2987773
Luxembourg,2008,488650
Luxembourg,2009,497783
Luxembourg,2010,506953
Luxembourg,2011,518347
Luxembourg,2012,530946
Macau,2008,507528
Macau,2009,521617
Macau,2010,534626
Macau,2011,546278
Macau,2012,556783
Macedonia,2008,2098769
Macedonia,2009,2100558
Macedonia,2010,2102216
Macedonia,2011,2103890
Macedonia,2012,2105575
Madagascar,2008,19926785
Madagascar,2009,20495695
Madagascar,2010,21079532
Madagascar,2011,21678934
Madagascar,2012,22293914
Malawi,2008,14138207
Malawi,2009,14573338
Malawi,2010,15013694
Malawi,2011,15457531
Malawi,2012,15906483
Malaysia,2008,27302348
Malaysia,2009,27790324
Malaysia,2010,28275835
Malaysia,2011,28758968
Malaysia,2012,29239927
Maldives,2008,313843
Maldives,2009,319660
Maldives,2010,325694
Maldives,2011,331964
Maldives,2012,338442
Mali,2008,13138299
Mali,2009,13559296
Mali,2010,13985961
Mali,2011,14416737
Mali,2012,14853572
Malta,2008,409379
Malta,2009,412477
Malta,2010,414508
Malta,2011,416268
Malta,2012,419455
Marshall Islands,2008,52245
Marshall Islands,2009,52341
Marshall Islands,2010,52428
Marshall Islands,2011,52495
Marshall Islands,2012,52555
Mauritania,2008,3422901
Mauritania,2009,3516077
Mauritania,2010,3609420
Mauritania,2011,3702763
Mauritania,2012,3796141
Mauritius,2008,1268565
Mauritius,2009,1275032
Mauritius,2010,1280924
Mauritius,2011,1286051
Mauritius,2012,1291167
Mexico,2008,114968039
Mexico,2009,116422752
Mexico,2010,117886404
Mexico,2011,119361233
Mexico,2012,120847477
"Micronesia, Federated States of",2008,104498
"Micronesia, Federated States of",2009,103983
"Micronesia, Federated States of",2010,103619
"Micronesia, Federated States of",2011,103424
"Micronesia, Federated States of",2012,103395
Moldova,2008,3570108
Moldova,2009,3565604
Moldova,2010,3562045
Moldova,2011,3559986
Moldova,2012,3559519
Monaco,2008,35686
Monaco,2009,36314
Monaco,2010,36845
Monaco,2011,37261
Monaco,2012,37579
Mongolia,2008,2632834
Mongolia,2009,2672223
Mongolia,2010,2712738
Mongolia,2011,2754209
Mongolia,2012,2796484
Montenegro,2008,618649
Montenegro,2009,619408
Montenegro,2010,620078
Montenegro,2011,620644
Montenegro,2012,621081
Morocco,2008,30955151
Morocco,2009,31276564
Morocco,2010,31642360
Morocco,2011,32059424
Morocco,2012,32521143
Mozambique,2008,22762525
Mozambique,2009,23361025
Mozambique,2010,23967265
Mozambique,2011,24581367
Mozambique,2012,25203395
Namibia,2008,2110791
Namibia,2009,2143498
Namibia,2010,2178967
Namibia,2011,2217618
Namibia,2012,2259393
Nepal,2008,26249412
Nepal,2009,26544943
Nepal,2010,26846016
Nepal,2011,27156367
Nepal,2012,27474377
Netherlands,2008,16445593
Netherlands,2009,16530388
Netherlands,2010,16615394
Netherlands,2011,16693074
Netherlands,2012,16754962
New Caledonia,2008,243985
New Caledonia,2009,245580
New Caledonia,2010,250000
New Caledonia,2011,254000
New Caledonia,2012,258000
New Zealand,2008,4268900
New Zealand,2009,4315800
New Zealand,2010,4367800
New Zealand,2011,4405200
New Zealand,2012,4433000
Nicaragua,2008,5667983
Nicaragua,2009,5743329
Nicaragua,2010,5822209
Nicaragua,2011,5905146
Nicaragua,2012,5991733
Niger,2008,14737895
Niger,2009,15302948
Niger,2010,15893746
Niger,2011,16511462
Niger,2012,17157042
Nigeria,2008,151208080
Nigeria,2009,155381020
Nigeria,2010,159707780
Nigeria,2011,164192925
Nigeria,2012,168833776
Northern Mariana Islands,2008,57345
Northern Mariana Islands,2009,55278
Northern Mariana Islands,2010,53860
Northern Mariana Islands,2011,53230
Northern Mariana Islands,2012,53305
Norway,2008,4768212
Norway,2009,4828726
Norway,2010,4889252
Norway,2011,4953088
Norway,2012,5018573
Oman,2008,2593523
Oman,2009,2663224
Oman,2010,2802768
Oman,2011,3024774
Oman,2012,3314001
Pakistan,2008,167008083
Pakistan,2009,170093999
Pakistan,2010,173149306
Pakistan,2011,176166353
Pakistan,2012,179160111
Palau,2008,20228
Palau,2009,20344
Palau,2010,20470
Palau,2011,20606
Palau,2012,20754
Panama,2008,3553480
Panama,2009,3615846
Panama,2010,3678128
Panama,2011,3740282
Panama,2012,3802281
Papua New Guinea,2008,6550877
Papua New Guinea,2009,6704829
Papua New Guinea,2010,6858945
Papua New Guinea,2011,7012977
Papua New Guinea,2012,7167010
Paraguay,2008,6236005
Paraguay,2009,6347383
Paraguay,2010,6459721
Paraguay,2011,6573097
Paraguay,2012,6687361
Peru,2008,28625628
Peru,2009,28934303
Peru,2010,29262830
Peru,2011,29614887
Peru,2012,29987800
Philippines,2008,90371287
Philippines,2009,91886400
Philippines,2010,93444322
Philippines,2011,95053437
Philippines,2012,96706764
Poland,2008,38125759
Poland,2009,38151603
Poland,2010,38183683
Poland,2011,38534157
Poland,2012,38535873
Portugal,2008,10558177
Portugal,2009,10568247
Portugal,2010,10573100
Portugal,2011,10557560
Portugal,2012,10514844
Puerto Rico,2008,3760866
Puerto Rico,2009,3740410
Puerto Rico,2010,3721208
Puerto Rico,2011,3686580
Puerto Rico,2012,3651545
Qatar,2008,1359114
Qatar,2009,1564082
Qatar,2010,1749713
Qatar,2011,1910902
Qatar,2012,2050514
Romania,2008,20537875
Romania,2009,20367487
Romania,2010,20246871
Romania,2011,20147528
Romania,2012,20076727
Russia,2008,141956409
Russia,2009,141909244
Russia,2010,142385523
Russia,2011,142956460
Russia,2012,143178000
Rwanda,2008,10222961
Rwanda,2009,10529668
Rwanda,2010,10836732
Rwanda,2011,11144315
Rwanda,2012,11457801
Saint Kitts and Nevis ,2008,51110
Saint Kitts and Nevis ,2009,51731
Saint Kitts and Nevis ,2010,52352
Saint Kitts and Nevis ,2011,52971
Saint Kitts and Nevis ,2012,53584
Saint Lucia,2008,172734
Saint Lucia,2009,175200
Saint Lucia,2010,177397
Saint Lucia,2011,179271
Saint Lucia,2012,180870
Saint Martin,2008,29376
Saint Martin,2009,29820
Saint Martin,2010,30235
Saint Martin,2011,30615
Saint Martin,2012,30959
Saint Vincent and the Grenadines,2008,109158
Saint Vincent and the Grenadines,2009,109249
Saint Vincent and the Grenadines,2010,109316
Saint Vincent and the Grenadines,2011,109357
Saint Vincent and the Grenadines,2012,109373
Samoa,2008,183444
Samoa,2009,184704
Samoa,2010,186029
Samoa,2011,187429
Samoa,2012,188889
San Marino,2008,30549
San Marino,2009,30698
San Marino,2010,30861
San Marino,2011,31048
San Marino,2012,31247
São Tomé and Príncipe,2008,168253
São Tomé and Príncipe,2009,173240
São Tomé and Príncipe,2010,178228
São Tomé and Príncipe,2011,183177
São Tomé and Príncipe,2012,188098
Saudi Arabia,2008,26366358
Saudi Arabia,2009,26796375
Saudi Arabia,2010,27258387
Saudi Arabia,2011,27761728
Saudi Arabia,2012,28287855
Senegal,2008,12238791
Senegal,2009,12586827
Senegal,2010,12950564
Senegal,2011,13330737
Senegal,2012,13726021
Serbia,2008,7350221
Serbia,2009,7320807
Serbia,2010,7291436
Serbia,2011,7234099
Serbia,2012,7199077
Seychelles,2008,86956
Seychelles,2009,87298
Seychelles,2010,89770
Seychelles,2011,87441
Seychelles,2012,88303
Sierra Leone,2008,5532139
Sierra Leone,2009,5641182
Sierra Leone,2010,5751976
Sierra Leone,2011,5865491
Sierra Leone,2012,5978727
Singapore,2008,4839400
Singapore,2009,4987600
Singapore,2010,5076700
Singapore,2011,5183700
Singapore,2012,5312400
Sint Maarten,2008,40459
Sint Maarten,2009,39133
Sint Maarten,2010,37850
Sint Maarten,2011,38486
Sint Maarten,2012,39088
Slovakia,2008,5379233
Slovakia,2009,5386406
Slovakia,2010,5391428
Slovakia,2011,5398384
Slovakia,2012,5407579
Slovenia,2008,2021316
Slovenia,2009,2039669
Slovenia,2010,2048583
Slovenia,2011,2052843
Slovenia,2012,2057159
Solomon Islands,2008,503541
Solomon Islands,2009,514964
Solomon Islands,2010,526447
Solomon Islands,2011,537997
Solomon Islands,2012,549598
Somalia,2008,9140259
Somalia,2009,9380854
Somalia,2010,9636173
Somalia,2011,9907903
Somalia,2012,10195134
South Africa,2008,49561256
South Africa,2009,50222996
South Africa,2010,50895698
South Africa,2011,51579599
South Africa,2012,52274945
South Sudan,2008,9118386
South Sudan,2009,9520571
South Sudan,2010,9940929
South Sudan,2011,10381110
South Sudan,2012,10837527
Spain,2008,45954106
Spain,2009,46362946
Spain,2010,46576897
Spain,2011,46742697
Spain,2012,46761264
Sri Lanka,2008,20217000
Sri Lanka,2009,20450000
Sri Lanka,2010,20653000
Sri Lanka,2011,20869000
Sri Lanka,2012,20328000
Sudan,2008,34040065
Sudan,2009,34853178
Sudan,2010,35652002
Sudan,2011,36430923
Sudan,2012,37195349
Suriname,2008,515372
Suriname,2009,520173
Suriname,2010,524960
Suriname,2011,529761
Suriname,2012,534541
Swaziland,2008,1153929
Swaziland,2009,1173678
Swaziland,2010,1193148
Swaziland,2011,1212159
Swaziland,2012,1230985
Sweden,2008,9219637
Sweden,2009,9298515
Sweden,2010,9378126
Sweden,2011,9449213
Sweden,2012,9519374
Switzerland,2008,7647675
Switzerland,2009,7743831
Switzerland,2010,7824909
Switzerland,2011,7912398
Switzerland,2012,7996861
Syrian Arab Republic,2008,20346056
Syrian Arab Republic,2009,21031546
Syrian Arab Republic,2010,21532647
Syrian Arab Republic,2011,21961676
Syrian Arab Republic,2012,22399254
Tajikistan,2008,7275252
Tajikistan,2009,7447396
Tajikistan,2010,7627326
Tajikistan,2011,7814850
Tajikistan,2012,8008990
Tanzania,2008,42353790
Tanzania,2009,43639752
Tanzania,2010,44973330
Tanzania,2011,46354607
Tanzania,2012,47783107
Thailand,2008,66185340
Thailand,2009,66277335
Thailand,2010,66402316
Thailand,2011,66576332
Thailand,2012,66785001
Togo,2008,5987491
Togo,2009,6144457
Togo,2010,6306014
Togo,2011,6472304
Togo,2012,6642928
Tonga,2008,102947
Tonga,2009,103557
Tonga,2010,104098
Tonga,2011,104554
Tonga,2012,104941
Trinidad and Tobago,2008,1316449
Trinidad and Tobago,2009,1322518
Trinidad and Tobago,2010,1328095
Trinidad and Tobago,2011,1333082
Trinidad and Tobago,2012,1337439
Tunisia,2008,10328900
Tunisia,2009,10439600
Tunisia,2010,10549100
Tunisia,2011,10673800
Tunisia,2012,10777500
Turkey,2008,70363511
Turkey,2009,71241080
Turkey,2010,72137546
Turkey,2011,73058638
Turkey,2012,73997128
Turkmenistan,2008,4917543
Turkmenistan,2009,4978962
Turkmenistan,2010,5041995
Turkmenistan,2011,5106668
Turkmenistan,2012,5172931
Turks and Caicos Islands,2008,29481
Turks and Caicos Islands,2009,30247
Turks and Caicos Islands,2010,30993
Turks and Caicos Islands,2011,31726
Turks and Caicos Islands,2012,32427
Tuvalu,2008,9788
Tuvalu,2009,9808
Tuvalu,2010,9827
Tuvalu,2011,9844
Tuvalu,2012,9860
U.S. Virgin Islands,2008,107091
U.S. Virgin Islands,2009,106707
U.S. Virgin Islands,2010,106267
U.S. Virgin Islands,2011,105784
U.S. Virgin Islands,2012,105275
Uganda,2008,31778799
Uganda,2009,32864328
Uganda,2010,33987213
Uganda,2011,35148064
Uganda,2012,36345860
Ukraine,2008,46258200
Ukraine,2009,46053300
Ukraine,2010,45870700
Ukraine,2011,45706100
Ukraine,2012,45593300
United Arab Emirates,2008,6798635
United Arab Emirates,2009,7718319
United Arab Emirates,2010,8441537
United Arab Emirates,2011,8925096
United Arab Emirates,2012,9205651
United Kingdom,2008,61806995
United Kingdom,2009,62276270
United Kingdom,2010,62766365
United Kingdom,2011,63258918
United Kingdom,2012,63695687
United States,2008,304093966
United States,2009,306771529
United States,2010,309326295
United States,2011,311582564
United States,2012,313873685
Uruguay,2008,3348898
Uruguay,2009,3360431
Uruguay,2010,3371982
Uruguay,2011,3383486
Uruguay,2012,3395253
Uzbekistan,2008,27302800
Uzbekistan,2009,27767400
Uzbekistan,2010,28562400
Uzbekistan,2011,29339400
Uzbekistan,2012,29774500
Vanuatu,2008,225398
Vanuatu,2009,230833
Vanuatu,2010,236299
Vanuatu,2011,241778
Vanuatu,2012,247262
Venezuela,2008,28120312
Venezuela,2009,28583040
Venezuela,2010,29043283
Venezuela,2011,29500625
Venezuela,2012,29954782
Vietnam,2008,85122300
Vietnam,2009,86025000
Vietnam,2010,86932500
Vietnam,2011,87840000
Vietnam,2012,88772900
Yemen,2008,21703571
Yemen,2009,22229625
Yemen,2010,22763008
Yemen,2011,23304206
Yemen,2012,23852409
Zambia,2008,12456527
Zambia,2009,12825031
Zambia,2010,13216985
Zambia,2011,13633796
Zambia,2012,14075099
Zimbabwe,2008,12784041
Zimbabwe,2009,12888918
Zimbabwe,2010,13076978
Zimbabwe,2011,13358738
Zimbabwe,2012,13724317
