Location,Year,AID disbursed for Basic Education as % of GDP
Kenya,2011,0.1970922552
Kenya,2010,0.0726284819
Kenya,2012,0.174898507
Kyrgyzstan,2008,0.2151910739
Kyrgyzstan,2009,0.1855715289
Kyrgyzstan,2011,0.2243381078
Kyrgyzstan,2010,0.194879005
Kyrgyzstan,2012,0.1922976054
Lao People's Democratic Republic,2008,0.3045362441
Lao People's Democratic Republic,2009,0.3769764016
Lao People's Democratic Republic,2011,0.3678495271
Lao People's Democratic Republic,2010,0.4565914179
Lao People's Democratic Republic,2012,0.3001405954
Lesotho,2008,0.3578590779
Lesotho,2009,0.6846626736
Lesotho,2011,0.4675251069
Lesotho,2010,0.5221160207
Lesotho,2012,0.3040317716
Liberia,2008,4.3793614183
Liberia,2009,1.8964208586
Liberia,2011,2.1423648309
Liberia,2010,2.860398124
Liberia,2012,1.8492255652
Madagascar,2008,0.5209502932
Madagascar,2009,0.2907408548
Madagascar,2011,0.2408696738
Madagascar,2010,0.2638929188
Madagascar,2012,0.1657856529
Malawi,2008,1.4396966893
Malawi,2009,0.9869416865
Malawi,2011,0.9893296687
Malawi,2010,1.8453781434
Malawi,2012,1.9144403402
Mali,2008,1.4921832498
Mali,2009,1.1828156397
Mali,2011,0.8088284802
Mali,2010,0.9595859566
Mali,2012,0.3829727881
Mauritania,2008,0.46328266
Mauritania,2009,0.3432213979
Mauritania,2011,0.1946546429
Mauritania,2010,0.310729889
Mauritania,2012,0.1369010155
Mongolia,2008,0.2389092741
Mongolia,2009,0.1178981089
Mongolia,2011,0.2468818751
Mongolia,2010,0.2642648543
Mongolia,2012,0.2606583291
Mozambique,2008,1.5553062466
Mozambique,2009,1.8096256266
Mozambique,2011,1.1207462464
Mozambique,2010,1.4563912872
Mozambique,2012,0.7393865326
Nepal,2008,0.5385010522
Nepal,2009,1.0136418398
Nepal,2011,0.4035818046
Nepal,2010,0.4371245563
Nepal,2012,0.3827244778
Nicaragua,2008,0.5187406894
Nicaragua,2009,0.5205300307
Nicaragua,2011,0.1984245496
Nicaragua,2010,0.264279356
Nicaragua,2012,0.1666423901
Niger,2008,0.7412436595
Niger,2009,0.4868893962
Niger,2011,0.319122227
Niger,2010,0.2493862896
Niger,2012,0.4418584289
Nigeria,2008,0.0179018809
Nigeria,2009,0.0255089144
Nigeria,2011,0.0226180564
Nigeria,2010,0.0315720722
Nigeria,2012,0.0184372997
Pakistan,2008,0.0516179804
Pakistan,2009,0.1701566656
Pakistan,2011,0.1346993511
Pakistan,2010,0.142891494
Pakistan,2012,0.0916640795
Papua New Guinea,2008,0.28391685
Papua New Guinea,2009,0.5148419667
Papua New Guinea,2011,0.4196262414
Papua New Guinea,2010,0.4385464553
Papua New Guinea,2012,0.3009653628
Republic of Moldova,2008,0.1771824707
Republic of Moldova,2009,0.0119678466
Republic of Moldova,2011,0.1888917954
Republic of Moldova,2010,0.3173448598
Republic of Moldova,2012,0.1423859501
Rwanda,2008,1.5494754656
Rwanda,2009,1.1660393756
Rwanda,2011,1.0090983538
Rwanda,2010,0.6820164853
Rwanda,2012,0.410114011
Sao Tome and Principe,2008,0.729697541
Sao Tome and Principe,2009,0.9180872449
Sao Tome and Principe,2011,0.7664641129
Sao Tome and Principe,2010,0.1506743781
Sao Tome and Principe,2012,0.5814036122
Senegal,2008,0.5046888096
Senegal,2009,0.4916340541
Senegal,2011,0.4594505083
Senegal,2010,0.4836859377
Senegal,2012,0.5378789952
Sierra Leone,2008,0.9487733811
Sierra Leone,2009,1.0062631133
Sierra Leone,2011,0.5066245857
Sierra Leone,2010,0.6510728045
Sierra Leone,2012,0.4063806334
Somalia,2008,
Somalia,2009,
Somalia,2011,
Somalia,2010,
Somalia,2012,
South Sudan,2008,
South Sudan,2009,
South Sudan,2011,0.201608349
South Sudan,2010,
South Sudan,2012,0.440392089
Sudan,2008,0.0794163505
Sudan,2009,0.0960038762
Sudan,2011,0.0258739582
Sudan,2010,0.0681875055
Sudan,2012,0.0157787564
Tajikistan,2008,0.177043038
Tajikistan,2009,0.3411010649
Tajikistan,2011,0.1951272206
Tajikistan,2010,0.295515615
Tajikistan,2012,0.2220243678
Timor-Leste,2008,0.3442860464
Timor-Leste,2009,0.4772293119
Timor-Leste,2011,0.3524401846
Timor-Leste,2010,0.3756502751
Timor-Leste,2012,0.1901235635
Togo,2008,0.3190563359
Togo,2009,0.3556882151
Togo,2011,0.3838415262
Togo,2010,0.4071316955
Togo,2012,0.1041409508
Uganda,2008,0.4875200763
Uganda,2009,0.3514733071
Uganda,2011,0.2811625346
Uganda,2010,0.4884949677
Uganda,2012,0.1742132853
United Republic of Tanzania,2008,0.3950765628
United Republic of Tanzania,2009,0.6705224906
United Republic of Tanzania,2011,0.2480424645
United Republic of Tanzania,2010,0.5653712152
United Republic of Tanzania,2012,0.4273413828
Uzbekistan,2008,0.0101036427
Uzbekistan,2009,0.0174351379
Uzbekistan,2011,0.0269900046
Uzbekistan,2010,0.0368068847
Uzbekistan,2012,0.0125103463
Viet Nam,2008,0.0933242219
Viet Nam,2009,0.1813687478
Viet Nam,2011,0.0638628457
Viet Nam,2010,0.1096627169
Viet Nam,2012,0.0417356567
Yemen,2008,0.2262576629
Yemen,2009,0.290131682
Yemen,2011,0.1399633961
Yemen,2010,0.2018923485
Yemen,2012,0.1477560866
Zambia,2008,0.5419642026
Zambia,2009,0.8021227036
Zambia,2011,0.22040735
Zambia,2010,0.3649955503
Zambia,2012,0.1892068679
Zimbabwe,2008,0.0535278257
Zimbabwe,2009,0.1568311022
Zimbabwe,2011,0.2325743091
Zimbabwe,2010,0.1488884232
Zimbabwe,2012,0.5325463222
Total,2008,0.5984100548
Total,2009,0.5390585252
Total,2011,0.4342693177
Total,2010,0.4958598228
Total,2012,0.3603424351
